alpha,p_incorrect,n_abstained,seed,model,dataset_key
0.2,0.14792899408284024,845,0,baseline,gsm8k_phi3
0.3,0.16179952644041043,1267,0,baseline,gsm8k_phi3
0.4,0.17100591715976332,1690,0,baseline,gsm8k_phi3
0.5,0.16287878787878787,2112,0,baseline,gsm8k_phi3
0.6,0.15430149960536702,2534,0,baseline,gsm8k_phi3
0.7,0.1484612783226243,2957,0,baseline,gsm8k_phi3
0.8,0.1358390056229654,3379,0,baseline,gsm8k_phi3
0.9,0.1270384008416623,3802,0,baseline,gsm8k_phi3
0.1,0.12085308056872038,422,1,baseline,gsm8k_phi3
0.2,0.1467455621301775,845,1,baseline,gsm8k_phi3
0.3,0.16574585635359115,1267,1,baseline,gsm8k_phi3
0.4,0.15562130177514794,1690,1,baseline,gsm8k_phi3
0.5,0.1553030303030303,2112,1,baseline,gsm8k_phi3
0.6,0.14917127071823205,2534,1,baseline,gsm8k_phi3
0.7,0.14338856949611092,2957,1,baseline,gsm8k_phi3
0.8,0.13228765907073098,3379,1,baseline,gsm8k_phi3
0.9,0.13203577064702787,3802,1,baseline,gsm8k_phi3
0.1,0.19194312796208532,422,2,baseline,gsm8k_phi3
0.2,0.1680473372781065,845,2,baseline,gsm8k_phi3
0.3,0.1665351223362273,1267,2,baseline,gsm8k_phi3
0.4,0.16568047337278108,1690,2,baseline,gsm8k_phi3
0.5,0.1581439393939394,2112,2,baseline,gsm8k_phi3
0.6,0.15074980268350435,2534,2,baseline,gsm8k_phi3
0.7,0.14609401420358473,2957,2,baseline,gsm8k_phi3
0.8,0.13672684226102397,3379,2,baseline,gsm8k_phi3
0.9,0.13256180957390848,3802,2,baseline,gsm8k_phi3
0.1,0.16824644549763032,422,3,baseline,gsm8k_phi3
0.2,0.19289940828402366,845,3,baseline,gsm8k_phi3
0.3,0.1665351223362273,1267,3,baseline,gsm8k_phi3
0.4,0.16449704142011834,1690,3,baseline,gsm8k_phi3
0.5,0.15104166666666666,2112,3,baseline,gsm8k_phi3
0.6,0.14759273875295975,2534,3,baseline,gsm8k_phi3
0.7,0.13561041596212378,2957,3,baseline,gsm8k_phi3
0.8,0.1325836046167505,3379,3,baseline,gsm8k_phi3
0.9,0.12283008942661756,3802,3,baseline,gsm8k_phi3
0.1,0.15402843601895735,422,4,baseline,gsm8k_phi3
0.2,0.1739644970414201,845,4,baseline,gsm8k_phi3
0.3,0.15074980268350435,1267,4,baseline,gsm8k_phi3
0.4,0.15266272189349112,1690,4,baseline,gsm8k_phi3
0.5,0.1415719696969697,2112,4,baseline,gsm8k_phi3
0.6,0.1270718232044199,2534,4,baseline,gsm8k_phi3
0.7,0.13358133243151843,2957,4,baseline,gsm8k_phi3
0.8,0.13672684226102397,3379,4,baseline,gsm8k_phi3
0.9,0.13019463440294582,3802,4,baseline,gsm8k_phi3
0.1,0.11611374407582939,422,0,lora_abstention,gsm8k_phi3
0.2,0.11834319526627218,845,0,lora_abstention,gsm8k_phi3
0.3,0.11523283346487766,1267,0,lora_abstention,gsm8k_phi3
0.4,0.11952662721893491,1690,0,lora_abstention,gsm8k_phi3
0.5,0.12357954545454546,2112,0,lora_abstention,gsm8k_phi3
0.6,0.12786108918705605,2534,0,lora_abstention,gsm8k_phi3
0.7,0.1274940818397024,2957,0,lora_abstention,gsm8k_phi3
0.8,0.12400118378218408,3379,0,lora_abstention,gsm8k_phi3
0.9,0.12993161493950553,3802,0,lora_abstention,gsm8k_phi3
0.1,0.11611374407582939,422,1,lora_abstention,gsm8k_phi3
0.2,0.11834319526627218,845,1,lora_abstention,gsm8k_phi3
0.3,0.11523283346487766,1267,1,lora_abstention,gsm8k_phi3
0.4,0.11952662721893491,1690,1,lora_abstention,gsm8k_phi3
0.5,0.12357954545454546,2112,1,lora_abstention,gsm8k_phi3
0.6,0.12786108918705605,2534,1,lora_abstention,gsm8k_phi3
0.7,0.1274940818397024,2957,1,lora_abstention,gsm8k_phi3
0.8,0.12400118378218408,3379,1,lora_abstention,gsm8k_phi3
0.9,0.12993161493950553,3802,1,lora_abstention,gsm8k_phi3
0.1,0.11611374407582939,422,2,lora_abstention,gsm8k_phi3
0.2,0.11834319526627218,845,2,lora_abstention,gsm8k_phi3
0.3,0.11523283346487766,1267,2,lora_abstention,gsm8k_phi3
0.4,0.11952662721893491,1690,2,lora_abstention,gsm8k_phi3
0.5,0.12357954545454546,2112,2,lora_abstention,gsm8k_phi3
0.6,0.12786108918705605,2534,2,lora_abstention,gsm8k_phi3
0.7,0.1274940818397024,2957,2,lora_abstention,gsm8k_phi3
0.8,0.12400118378218408,3379,2,lora_abstention,gsm8k_phi3
0.9,0.12993161493950553,3802,2,lora_abstention,gsm8k_phi3
0.1,0.11611374407582939,422,3,lora_abstention,gsm8k_phi3
0.2,0.11834319526627218,845,3,lora_abstention,gsm8k_phi3
0.3,0.11523283346487766,1267,3,lora_abstention,gsm8k_phi3
0.4,0.11952662721893491,1690,3,lora_abstention,gsm8k_phi3
0.5,0.12357954545454546,2112,3,lora_abstention,gsm8k_phi3
0.6,0.12786108918705605,2534,3,lora_abstention,gsm8k_phi3
0.7,0.1274940818397024,2957,3,lora_abstention,gsm8k_phi3
0.8,0.12400118378218408,3379,3,lora_abstention,gsm8k_phi3
0.9,0.12993161493950553,3802,3,lora_abstention,gsm8k_phi3
0.1,0.11611374407582939,422,4,lora_abstention,gsm8k_phi3
0.2,0.11834319526627218,845,4,lora_abstention,gsm8k_phi3
0.3,0.11523283346487766,1267,4,lora_abstention,gsm8k_phi3
0.4,0.11952662721893491,1690,4,lora_abstention,gsm8k_phi3
0.5,0.12357954545454546,2112,4,lora_abstention,gsm8k_phi3
0.6,0.12786108918705605,2534,4,lora_abstention,gsm8k_phi3
0.7,0.1274940818397024,2957,4,lora_abstention,gsm8k_phi3
0.8,0.12400118378218408,3379,4,lora_abstention,gsm8k_phi3
0.9,0.12993161493950553,3802,4,lora_abstention,gsm8k_phi3
0.1,0.15876777251184834,422,0,self_assessment,gsm8k_phi3
0.2,0.1289940828402367,845,0,self_assessment,gsm8k_phi3
0.3,0.12943962115232832,1267,0,self_assessment,gsm8k_phi3
0.4,0.13431952662721894,1690,0,self_assessment,gsm8k_phi3
0.5,0.1425189393939394,2112,0,self_assessment,gsm8k_phi3
0.6,0.13417521704814522,2534,0,self_assessment,gsm8k_phi3
0.7,0.13324315184308422,2957,0,self_assessment,gsm8k_phi3
0.8,0.12844036697247707,3379,0,self_assessment,gsm8k_phi3
0.9,0.1251972645975802,3802,0,self_assessment,gsm8k_phi3
0.1,0.15876777251184834,422,1,self_assessment,gsm8k_phi3
0.2,0.1289940828402367,845,1,self_assessment,gsm8k_phi3
0.3,0.12943962115232832,1267,1,self_assessment,gsm8k_phi3
0.4,0.13431952662721894,1690,1,self_assessment,gsm8k_phi3
0.5,0.1425189393939394,2112,1,self_assessment,gsm8k_phi3
0.6,0.13417521704814522,2534,1,self_assessment,gsm8k_phi3
0.7,0.13324315184308422,2957,1,self_assessment,gsm8k_phi3
0.8,0.12844036697247707,3379,1,self_assessment,gsm8k_phi3
0.9,0.1251972645975802,3802,1,self_assessment,gsm8k_phi3
0.1,0.15876777251184834,422,2,self_assessment,gsm8k_phi3
0.2,0.1289940828402367,845,2,self_assessment,gsm8k_phi3
0.3,0.12943962115232832,1267,2,self_assessment,gsm8k_phi3
0.4,0.13431952662721894,1690,2,self_assessment,gsm8k_phi3
0.5,0.1425189393939394,2112,2,self_assessment,gsm8k_phi3
0.6,0.13417521704814522,2534,2,self_assessment,gsm8k_phi3
0.7,0.13324315184308422,2957,2,self_assessment,gsm8k_phi3
0.8,0.12844036697247707,3379,2,self_assessment,gsm8k_phi3
0.9,0.1251972645975802,3802,2,self_assessment,gsm8k_phi3
0.1,0.15876777251184834,422,3,self_assessment,gsm8k_phi3
0.2,0.1289940828402367,845,3,self_assessment,gsm8k_phi3
0.3,0.12943962115232832,1267,3,self_assessment,gsm8k_phi3
0.4,0.13431952662721894,1690,3,self_assessment,gsm8k_phi3
0.5,0.1425189393939394,2112,3,self_assessment,gsm8k_phi3
0.6,0.13417521704814522,2534,3,self_assessment,gsm8k_phi3
0.7,0.13324315184308422,2957,3,self_assessment,gsm8k_phi3
0.8,0.12844036697247707,3379,3,self_assessment,gsm8k_phi3
0.9,0.1251972645975802,3802,3,self_assessment,gsm8k_phi3
0.1,0.15876777251184834,422,4,self_assessment,gsm8k_phi3
0.2,0.1289940828402367,845,4,self_assessment,gsm8k_phi3
0.3,0.12943962115232832,1267,4,self_assessment,gsm8k_phi3
0.4,0.13431952662721894,1690,4,self_assessment,gsm8k_phi3
0.5,0.1425189393939394,2112,4,self_assessment,gsm8k_phi3
0.6,0.13417521704814522,2534,4,self_assessment,gsm8k_phi3
0.7,0.13324315184308422,2957,4,self_assessment,gsm8k_phi3
0.8,0.12844036697247707,3379,4,self_assessment,gsm8k_phi3
0.9,0.1251972645975802,3802,4,self_assessment,gsm8k_phi3
0.1,0.43601895734597157,422,0,full,gsm8k_qwen
0.2,0.34437869822485206,845,0,full,gsm8k_qwen
0.3,0.2983425414364641,1267,0,full,gsm8k_qwen
0.4,0.25207100591715975,1690,0,full,gsm8k_qwen
0.5,0.2215909090909091,2112,0,full,gsm8k_qwen
0.6,0.19218626677190212,2534,0,full,gsm8k_qwen
0.7,0.1728102806898884,2957,0,full,gsm8k_qwen
0.8,0.15300384729209826,3379,0,full,gsm8k_qwen
0.9,0.1367701209889532,3802,0,full,gsm8k_qwen
0.1,0.471563981042654,422,1,full,gsm8k_qwen
0.2,0.3680473372781065,845,1,full,gsm8k_qwen
0.3,0.3014996053670087,1267,1,full,gsm8k_qwen
0.4,0.25384615384615383,1690,1,full,gsm8k_qwen
0.5,0.22490530303030304,2112,1,full,gsm8k_qwen
0.6,0.19692186266771902,2534,1,full,gsm8k_qwen
0.7,0.17314846127832262,2957,1,full,gsm8k_qwen
0.8,0.1541876294761764,3379,1,full,gsm8k_qwen
0.9,0.13703314045239348,3802,1,full,gsm8k_qwen
0.1,0.45023696682464454,422,2,full,gsm8k_qwen
0.2,0.3633136094674556,845,2,full,gsm8k_qwen
0.3,0.2920284135753749,1267,2,full,gsm8k_qwen
0.4,0.2532544378698225,1690,2,full,gsm8k_qwen
0.5,0.21827651515151514,2112,2,full,gsm8k_qwen
0.6,0.19337016574585636,2534,2,full,gsm8k_qwen
0.7,0.17179573892458572,2957,2,full,gsm8k_qwen
0.8,0.15389168393015684,3379,2,full,gsm8k_qwen
0.9,0.13703314045239348,3802,2,full,gsm8k_qwen
0.1,0.44075829383886256,422,3,full,gsm8k_qwen
0.2,0.3526627218934911,845,3,full,gsm8k_qwen
0.3,0.2857142857142857,1267,3,full,gsm8k_qwen
0.4,0.2532544378698225,1690,3,full,gsm8k_qwen
0.5,0.22490530303030304,2112,3,full,gsm8k_qwen
0.6,0.1957379636937648,2534,3,full,gsm8k_qwen
0.7,0.1714575583361515,2957,3,full,gsm8k_qwen
0.8,0.15270790174607873,3379,3,full,gsm8k_qwen
0.9,0.13703314045239348,3802,3,full,gsm8k_qwen
0.1,0.4218009478672986,422,4,full,gsm8k_qwen
0.2,0.3467455621301775,845,4,full,gsm8k_qwen
0.3,0.27229676400947117,1267,4,full,gsm8k_qwen
0.4,0.24378698224852072,1690,4,full,gsm8k_qwen
0.5,0.2196969696969697,2112,4,full,gsm8k_qwen
0.6,0.19179163378058406,2534,4,full,gsm8k_qwen
0.7,0.1714575583361515,2957,4,full,gsm8k_qwen
0.8,0.1532997928381178,3379,4,full,gsm8k_qwen
0.9,0.13703314045239348,3802,4,full,gsm8k_qwen
0.1,0.22748815165876776,422,0,baseline,gsm8k_qwen
0.2,0.1940828402366864,845,0,baseline,gsm8k_qwen
0.3,0.1910023677979479,1267,0,baseline,gsm8k_qwen
0.4,0.18875739644970413,1690,0,baseline,gsm8k_qwen
0.5,0.1709280303030303,2112,0,baseline,gsm8k_qwen
0.6,0.15627466456195738,2534,0,baseline,gsm8k_qwen
0.7,0.14913763949949274,2957,0,baseline,gsm8k_qwen
0.8,0.1444214264575318,3379,0,baseline,gsm8k_qwen
0.9,0.13519200420831143,3802,0,baseline,gsm8k_qwen
0.1,0.26303317535545023,422,1,baseline,gsm8k_qwen
0.2,0.2331360946745562,845,1,baseline,gsm8k_qwen
0.3,0.2170481452249408,1267,1,baseline,gsm8k_qwen
0.4,0.2136094674556213,1690,1,baseline,gsm8k_qwen
0.5,0.1856060606060606,2112,1,baseline,gsm8k_qwen
0.6,0.16416732438831885,2534,1,baseline,gsm8k_qwen
0.7,0.1559012512681772,2957,1,baseline,gsm8k_qwen
0.8,0.1423498076353951,3379,1,baseline,gsm8k_qwen
0.9,0.13519200420831143,3802,1,baseline,gsm8k_qwen
0.1,0.22748815165876776,422,2,baseline,gsm8k_qwen
0.2,0.2331360946745562,845,2,baseline,gsm8k_qwen
0.3,0.21625887924230466,1267,2,baseline,gsm8k_qwen
0.4,0.2118343195266272,1690,2,baseline,gsm8k_qwen
0.5,0.19318181818181818,2112,2,baseline,gsm8k_qwen
0.6,0.1712707182320442,2534,2,baseline,gsm8k_qwen
0.7,0.1613121406831248,2957,2,baseline,gsm8k_qwen
0.8,0.14678899082568808,3379,2,baseline,gsm8k_qwen
0.9,0.135718043135192,3802,2,baseline,gsm8k_qwen
0.1,0.22274881516587677,422,3,baseline,gsm8k_qwen
0.2,0.2165680473372781,845,3,baseline,gsm8k_qwen
0.3,0.1910023677979479,1267,3,baseline,gsm8k_qwen
0.4,0.17159763313609466,1690,3,baseline,gsm8k_qwen
0.5,0.17945075757575757,2112,3,baseline,gsm8k_qwen
0.6,0.1653512233622731,2534,3,baseline,gsm8k_qwen
0.7,0.15387216773757187,2957,3,baseline,gsm8k_qwen
0.8,0.14560520864160995,3379,3,baseline,gsm8k_qwen
0.9,0.13361388742766964,3802,3,baseline,gsm8k_qwen
0.1,0.23459715639810427,422,4,baseline,gsm8k_qwen
0.2,0.1952662721893491,845,4,baseline,gsm8k_qwen
0.3,0.17521704814522493,1267,4,baseline,gsm8k_qwen
0.4,0.18402366863905326,1690,4,baseline,gsm8k_qwen
0.5,0.17945075757575757,2112,4,baseline,gsm8k_qwen
0.6,0.1637726913970008,2534,4,baseline,gsm8k_qwen
0.7,0.15218126479540076,2957,4,baseline,gsm8k_qwen
0.8,0.14323764427345367,3379,4,baseline,gsm8k_qwen
0.9,0.13413992635455024,3802,4,baseline,gsm8k_qwen
0.1,0.12085308056872038,422,0,lora_abstention,gsm8k_qwen
0.2,0.13372781065088757,845,0,lora_abstention,gsm8k_qwen
0.3,0.1420678768745067,1267,0,lora_abstention,gsm8k_qwen
0.4,0.13609467455621302,1690,0,lora_abstention,gsm8k_qwen
0.5,0.1278409090909091,2112,0,lora_abstention,gsm8k_qwen
0.6,0.13062352012628256,2534,0,lora_abstention,gsm8k_qwen
0.7,0.13189042948934732,2957,0,lora_abstention,gsm8k_qwen
0.8,0.13228765907073098,3379,0,lora_abstention,gsm8k_qwen
0.9,0.12914255654918463,3802,0,lora_abstention,gsm8k_qwen
0.1,0.08767772511848342,422,1,lora_abstention,gsm8k_qwen
0.2,0.09822485207100591,845,1,lora_abstention,gsm8k_qwen
0.3,0.09234411996842937,1267,1,lora_abstention,gsm8k_qwen
0.4,0.09349112426035502,1690,1,lora_abstention,gsm8k_qwen
0.5,0.10321969696969698,2112,1,lora_abstention,gsm8k_qwen
0.6,0.1101026045777427,2534,1,lora_abstention,gsm8k_qwen
0.7,0.11903956712884681,2957,1,lora_abstention,gsm8k_qwen
0.8,0.12518496596626222,3379,1,lora_abstention,gsm8k_qwen
0.9,0.12467122567069963,3802,1,lora_abstention,gsm8k_qwen
0.1,0.12085308056872038,422,2,lora_abstention,gsm8k_qwen
0.2,0.12544378698224853,845,2,lora_abstention,gsm8k_qwen
0.3,0.12943962115232832,1267,2,lora_abstention,gsm8k_qwen
0.4,0.13550295857988165,1690,2,lora_abstention,gsm8k_qwen
0.5,0.13399621212121213,2112,2,lora_abstention,gsm8k_qwen
0.6,0.13101815311760062,2534,2,lora_abstention,gsm8k_qwen
0.7,0.13053770713561041,2957,2,lora_abstention,gsm8k_qwen
0.8,0.1269606392423794,3379,2,lora_abstention,gsm8k_qwen
0.9,0.12467122567069963,3802,2,lora_abstention,gsm8k_qwen
0.1,0.1990521327014218,422,3,lora_abstention,gsm8k_qwen
0.2,0.15857988165680473,845,3,lora_abstention,gsm8k_qwen
0.3,0.15074980268350435,1267,3,lora_abstention,gsm8k_qwen
0.4,0.1437869822485207,1690,3,lora_abstention,gsm8k_qwen
0.5,0.13920454545454544,2112,3,lora_abstention,gsm8k_qwen
0.6,0.13693764798737174,2534,3,lora_abstention,gsm8k_qwen
0.7,0.13290497125464998,2957,3,lora_abstention,gsm8k_qwen
0.8,0.1325836046167505,3379,3,lora_abstention,gsm8k_qwen
0.9,0.131246712256707,3802,3,lora_abstention,gsm8k_qwen
0.1,0.0995260663507109,422,4,lora_abstention,gsm8k_qwen
0.2,0.09822485207100591,845,4,lora_abstention,gsm8k_qwen
0.3,0.10891870560378848,1267,4,lora_abstention,gsm8k_qwen
0.4,0.11834319526627218,1690,4,lora_abstention,gsm8k_qwen
0.5,0.12073863636363637,2112,4,lora_abstention,gsm8k_qwen
0.6,0.12352012628255722,2534,4,lora_abstention,gsm8k_qwen
0.7,0.12546499830909705,2957,4,lora_abstention,gsm8k_qwen
0.8,0.1269606392423794,3379,4,lora_abstention,gsm8k_qwen
0.9,0.1251972645975802,3802,4,lora_abstention,gsm8k_qwen
0.1,0.11374407582938388,422,0,self_assessment,gsm8k_qwen
0.2,0.13846153846153847,845,0,self_assessment,gsm8k_qwen
0.3,0.1420678768745067,1267,0,self_assessment,gsm8k_qwen
0.4,0.13727810650887573,1690,0,self_assessment,gsm8k_qwen
0.5,0.12642045454545456,2112,0,self_assessment,gsm8k_qwen
0.6,0.12746645619573796,2534,0,self_assessment,gsm8k_qwen
0.7,0.12478863713222861,2957,0,self_assessment,gsm8k_qwen
0.8,0.12844036697247707,3379,0,self_assessment,gsm8k_qwen
0.9,0.12756443976854287,3802,0,self_assessment,gsm8k_qwen
0.1,0.11374407582938388,422,1,self_assessment,gsm8k_qwen
0.2,0.13846153846153847,845,1,self_assessment,gsm8k_qwen
0.3,0.1420678768745067,1267,1,self_assessment,gsm8k_qwen
0.4,0.13727810650887573,1690,1,self_assessment,gsm8k_qwen
0.5,0.12642045454545456,2112,1,self_assessment,gsm8k_qwen
0.6,0.12746645619573796,2534,1,self_assessment,gsm8k_qwen
0.7,0.12478863713222861,2957,1,self_assessment,gsm8k_qwen
0.8,0.12844036697247707,3379,1,self_assessment,gsm8k_qwen
0.9,0.12756443976854287,3802,1,self_assessment,gsm8k_qwen
0.1,0.11374407582938388,422,2,self_assessment,gsm8k_qwen
0.2,0.13846153846153847,845,2,self_assessment,gsm8k_qwen
0.3,0.1420678768745067,1267,2,self_assessment,gsm8k_qwen
0.4,0.13727810650887573,1690,2,self_assessment,gsm8k_qwen
0.5,0.12642045454545456,2112,2,self_assessment,gsm8k_qwen
0.6,0.12746645619573796,2534,2,self_assessment,gsm8k_qwen
0.7,0.12478863713222861,2957,2,self_assessment,gsm8k_qwen
0.8,0.12844036697247707,3379,2,self_assessment,gsm8k_qwen
0.9,0.12756443976854287,3802,2,self_assessment,gsm8k_qwen
0.1,0.11374407582938388,422,3,self_assessment,gsm8k_qwen
0.2,0.13846153846153847,845,3,self_assessment,gsm8k_qwen
0.3,0.1420678768745067,1267,3,self_assessment,gsm8k_qwen
0.4,0.13727810650887573,1690,3,self_assessment,gsm8k_qwen
0.5,0.12642045454545456,2112,3,self_assessment,gsm8k_qwen
0.6,0.12746645619573796,2534,3,self_assessment,gsm8k_qwen
0.7,0.12478863713222861,2957,3,self_assessment,gsm8k_qwen
0.8,0.12844036697247707,3379,3,self_assessment,gsm8k_qwen
0.9,0.12756443976854287,3802,3,self_assessment,gsm8k_qwen
0.1,0.11374407582938388,422,4,self_assessment,gsm8k_qwen
0.2,0.13846153846153847,845,4,self_assessment,gsm8k_qwen
0.3,0.1420678768745067,1267,4,self_assessment,gsm8k_qwen
0.4,0.13727810650887573,1690,4,self_assessment,gsm8k_qwen
0.5,0.12642045454545456,2112,4,self_assessment,gsm8k_qwen
0.6,0.12746645619573796,2534,4,self_assessment,gsm8k_qwen
0.7,0.12478863713222861,2957,4,self_assessment,gsm8k_qwen
0.8,0.12844036697247707,3379,4,self_assessment,gsm8k_qwen
0.9,0.12756443976854287,3802,4,self_assessment,gsm8k_qwen
0.1,0.9768518518518519,216,0,full,olympiadMath_phi3
0.2,0.9768518518518519,432,0,full,olympiadMath_phi3
0.3,0.9691358024691358,648,0,full,olympiadMath_phi3
0.4,0.9745370370370371,864,0,full,olympiadMath_phi3
0.5,0.9712962962962963,1080,0,full,olympiadMath_phi3
0.6,0.966820987654321,1296,0,full,olympiadMath_phi3
0.7,0.953042328042328,1512,0,full,olympiadMath_phi3
0.8,0.9322916666666666,1728,0,full,olympiadMath_phi3
0.9,0.88940329218107,1944,0,full,olympiadMath_phi3
0.1,0.9629629629629629,216,1,full,olympiadMath_phi3
0.2,0.9675925925925926,432,1,full,olympiadMath_phi3
0.3,0.9722222222222222,648,1,full,olympiadMath_phi3
0.4,0.9722222222222222,864,1,full,olympiadMath_phi3
0.5,0.9722222222222222,1080,1,full,olympiadMath_phi3
0.6,0.9683641975308642,1296,1,full,olympiadMath_phi3
0.7,0.9543650793650794,1512,1,full,olympiadMath_phi3
0.8,0.9311342592592593,1728,1,full,olympiadMath_phi3
0.9,0.8924897119341564,1944,1,full,olympiadMath_phi3
0.1,0.9814814814814815,216,2,full,olympiadMath_phi3
0.2,0.9652777777777778,432,2,full,olympiadMath_phi3
0.3,0.9660493827160493,648,2,full,olympiadMath_phi3
0.4,0.96875,864,2,full,olympiadMath_phi3
0.5,0.9712962962962963,1080,2,full,olympiadMath_phi3
0.6,0.9645061728395061,1296,2,full,olympiadMath_phi3
0.7,0.9543650793650794,1512,2,full,olympiadMath_phi3
0.8,0.9293981481481481,1728,2,full,olympiadMath_phi3
0.9,0.8914609053497943,1944,2,full,olympiadMath_phi3
0.1,0.9907407407407407,216,3,full,olympiadMath_phi3
0.2,0.9745370370370371,432,3,full,olympiadMath_phi3
0.3,0.9722222222222222,648,3,full,olympiadMath_phi3
0.4,0.9733796296296297,864,3,full,olympiadMath_phi3
0.5,0.9694444444444444,1080,3,full,olympiadMath_phi3
0.6,0.9645061728395061,1296,3,full,olympiadMath_phi3
0.7,0.9484126984126984,1512,3,full,olympiadMath_phi3
0.8,0.9195601851851852,1728,3,full,olympiadMath_phi3
0.9,0.8811728395061729,1944,3,full,olympiadMath_phi3
0.1,0.9907407407407407,216,4,full,olympiadMath_phi3
0.2,0.9745370370370371,432,4,full,olympiadMath_phi3
0.3,0.9691358024691358,648,4,full,olympiadMath_phi3
0.4,0.9699074074074074,864,4,full,olympiadMath_phi3
0.5,0.9712962962962963,1080,4,full,olympiadMath_phi3
0.6,0.966820987654321,1296,4,full,olympiadMath_phi3
0.7,0.9503968253968254,1512,4,full,olympiadMath_phi3
0.8,0.9288194444444444,1728,4,full,olympiadMath_phi3
0.9,0.8873456790123457,1944,4,full,olympiadMath_phi3
0.1,0.9583333333333334,216,0,baseline,olympiadMath_phi3
0.2,0.9675925925925926,432,0,baseline,olympiadMath_phi3
0.3,0.970679012345679,648,0,baseline,olympiadMath_phi3
0.4,0.9664351851851852,864,0,baseline,olympiadMath_phi3
0.5,0.9416666666666667,1080,0,baseline,olympiadMath_phi3
0.6,0.9182098765432098,1296,0,baseline,olympiadMath_phi3
0.7,0.8961640211640212,1512,0,baseline,olympiadMath_phi3
0.8,0.8738425925925926,1728,0,baseline,olympiadMath_phi3
0.9,0.8580246913580247,1944,0,baseline,olympiadMath_phi3
0.1,0.9583333333333334,216,1,baseline,olympiadMath_phi3
0.2,0.9652777777777778,432,1,baseline,olympiadMath_phi3
0.3,0.9552469135802469,648,1,baseline,olympiadMath_phi3
0.4,0.9120370370370371,864,1,baseline,olympiadMath_phi3
0.5,0.8712962962962963,1080,1,baseline,olympiadMath_phi3
0.6,0.8626543209876543,1296,1,baseline,olympiadMath_phi3
0.7,0.8465608465608465,1512,1,baseline,olympiadMath_phi3
0.8,0.8408564814814815,1728,1,baseline,olympiadMath_phi3
0.9,0.8420781893004116,1944,1,baseline,olympiadMath_phi3
0.1,0.9907407407407407,216,2,baseline,olympiadMath_phi3
0.2,0.9722222222222222,432,2,baseline,olympiadMath_phi3
0.3,0.9614197530864198,648,2,baseline,olympiadMath_phi3
0.4,0.9629629629629629,864,2,baseline,olympiadMath_phi3
0.5,0.9462962962962963,1080,2,baseline,olympiadMath_phi3
0.6,0.9197530864197531,1296,2,baseline,olympiadMath_phi3
0.7,0.91005291005291,1512,2,baseline,olympiadMath_phi3
0.8,0.8790509259259259,1728,2,baseline,olympiadMath_phi3
